"RT @BernieWon2016: Bernie Sanders: ""I don’t need a SuperPac. I am not going to be controlled by a handful of wealthy people. I will be cont…",negative
"@AnandWrites Still Sanders 2020. Looking at Bernie's multi-decade long platform, and how relevant it is right now, the entire country should be begging for him to be President.",positive
RT @KyleKulinski: This video is incredible. All I have to say is the next Bernie Sanders won’t be so nice. Get ready for that.  https://t.c…,positive
See Bernie Sanders.,neutral
RT @1776Stonewall: https://t.co/NEiaBx2glN Bernie Sanders aids admit Tara Reade allegations are credible; Slam media and Democrats for cove…,negative
"RT @LostDiva: @aria_ahrary Um, not voting for those people... lol Joe Biden campaign message is all sorts of nothingness. Bernie Sanders go…",negative
"RT @GottaBernNow: John Cusack calls on Bernie Sanders to 'un endorse' Joe Biden, reopen his campaign for president  https://t.co/h971DGTzTb",neutral
"I’m in tears, @BernieSanders is the president the USA needs and deserves!",negative
RT @CapaTosta122: Bernie Sanders: Here’s How to Cover Uninsured Americans During the Pandemic https://t.co/3d8QHIJ9EE via @politico,negative
"@notcapnamerica The only problem I have with NY cancelling the Presidential Primaries, is that I won’t be able to vote against Bernie Sanders!!",negative
"RT @GottaBernNow: John Cusack calls on Bernie Sanders to 'un endorse' Joe Biden, reopen his campaign for president  https://t.co/h971DGTzTb",neutral
RT @KyleKulinski: This video is incredible. All I have to say is the next Bernie Sanders won’t be so nice. Get ready for that.  https://t.c…,positive
RT @KyleKulinski: This video is incredible. All I have to say is the next Bernie Sanders won’t be so nice. Get ready for that.  https://t.c…,positive
"Why Americans Don't Vote Their Class Anymore...#Liberal writer doesn't understand why low-income voters are getting tired of the #Democrats

https://t.co/dzsLi4mfxP #DemocratsAreDestroyingAmerica #DemocratsHateAmerica #DemsLie #LiberalHypocrisy #LiberalismIsAMentalDisorder",negative
"I blame our societal attention deficit disorder for many on the left canceling Bernie Sanders. His campaign brought  the left together, taught first time organizers how to canvass, and changed the political discussion. 2 weeks and that's forgotten.

We'll never win like this",negative
"@frickinlazers @Snertly @Yorkinshire1 @gzornick @ggreenwald You sure about that? 
https://t.co/AOlpaZZu4E 

Let's ignore the fact that he won state after state until Biden was given millions out of nowhere by big interests the moment his dead and floundering campaign won the backwater state of SC, I guess. Tell yourself what you like.",negative
RT @coopmike48: Bernie Lost Because America Doesn’t Have a Strong Labor Movement https://t.co/aGgdHJ0y7H #press #feedly,negative
RT @kgopinion: Now that the DNC has disappeared Bernie Sanders from the ballot do you still think we live in a Democracy?,negative
RT @KyleKulinski: This video is incredible. All I have to say is the next Bernie Sanders won’t be so nice. Get ready for that.  https://t.c…,positive
RT @ComradeMythic: The two Democrats who voted to remove Sanders from the NY ballot are 67 and 83. One of them works at a law firm that rep…,negative
"RT @GottaBernNow: John Cusack calls on Bernie Sanders to 'un endorse' Joe Biden, reopen his campaign for president  https://t.co/h971DGTzTb",neutral
RT @KyleKulinski: This video is incredible. All I have to say is the next Bernie Sanders won’t be so nice. Get ready for that.  https://t.c…,positive
RT @b_giggz: @MelanieHT1919 @ECMcLaughlin Not exactly. The majority who are pushing this are the angry desperate Bernie Sanders supporters.…,negative
RT @KyleKulinski: This video is incredible. All I have to say is the next Bernie Sanders won’t be so nice. Get ready for that.  https://t.c…,positive
"RT @People4Bernie: BREAKING: Against the wishes of Bernie, the campaign, and tens of millions of New Yorkers, @NYSBOE Co-Chair Douglas Kell…",negative
"RT @charliekirk11: What do these people have in common?

—Mazie Hirono
—Tammy Baldwin
—Ted Lieu
—Nancy Pelosi
—Adam Schiff
—Elizabeth Warre…",negative
RT @KyleKulinski: This video is incredible. All I have to say is the next Bernie Sanders won’t be so nice. Get ready for that.  https://t.c…,positive
"RT @GottaBernNow: John Cusack calls on Bernie Sanders to 'un endorse' Joe Biden, reopen his campaign for president  https://t.co/h971DGTzTb",neutral
"RT @OurRevolution: “Other States are better off following the Republican governor in Ohio who extended a mail in ballot, than following a D…",neutral
"@briebriejoy You oppose Democrats more so than you do Republicans. 

Everytime I see you bashing Dems and backing some Bernout ratf*cking effort it reminds me of Bernie Sanders' very bad judgment.",negative
Vote by mail.,neutral
Bernie Sanders: Bernie Sanders Unsuspend Your 2020 Campaign - Sign the Petition! https://t.co/PKYKxg8GDK via @Change,neutral
"RT @GottaBernNow: John Cusack calls on Bernie Sanders to 'un endorse' Joe Biden, reopen his campaign for president  https://t.co/h971DGTzTb",neutral
RT @KyleKulinski: This video is incredible. All I have to say is the next Bernie Sanders won’t be so nice. Get ready for that.  https://t.c…,positive
RT @KyleKulinski: This video is incredible. All I have to say is the next Bernie Sanders won’t be so nice. Get ready for that.  https://t.c…,positive
I absolutely will vote for Bernie in the Primary!,positive
"RT @BernieWon2016: Bernie Sanders: ""I don’t need a SuperPac. I am not going to be controlled by a handful of wealthy people. I will be cont…",negative
"RT @RedTRaccoon: While some people still try to divide us, there are many of us that are taking all the experience and knowledge we gained…",positive
"RT @coopmike48: ""Democracy is dead"": Sanders supporters dismayed by New York's move to remove Bernie from ballot https://t.co/gn3Fc1oL5m #p…",neutral
"RT @blakesmustache: 9. The Bernie Sanders campaign is a massive False Flag operation:

https://t.co/1DcRIlNK1X https://t.co/hS8yzuGbEF",neutral
"RT @People4Bernie: @NKingofDC Thank you Bernie Sanders and Ron Wyden
 https://t.co/WIMD7Lzp69",positive
"Its not too late. Demand that Bernie reinstates his campaign. Stop being Mr. nice guy. Your ""friend"" Joe Biden is being accused of serious sexual allegations. He has not even defended these allegations. #BidenRapist",negative
RT @m_mendozaferrer: The most ridiculous thing about this hand-wringing nonsense about Bernie being taken off the ballot in NY is that he w…,negative
RT @m_mendozaferrer: The most ridiculous thing about this hand-wringing nonsense about Bernie being taken off the ballot in NY is that he w…,negative
"RT @xeni: This thread became a troll rat king over the weekend. Weev, Glenn Greenwald, Jack Posobiec, Chapo Trap House, Bernie Sanders’ nut…",negative
Ever since Bernie Sanders dropped out @peterdaou's vocal twitter fight back against the system is keeping the hope alive that y'all can change for the better in the states. As well as in my country where monsters like Boris are in charge.,negative
"RT @DLN7527: When we get behind Ventura for President, we will finally have found the fighter that we always thought we had with Bernie San…",positive
RT @JimMaso02236687: Why Americans Don't Vote Their Class Anymore...#Liberal writer doesn't understand why low-income voters are getting ti…,negative
"RT @charliekirk11: What do these people have in common?

—Mazie Hirono
—Tammy Baldwin
—Ted Lieu
—Nancy Pelosi
—Adam Schiff
—Elizabeth Warre…",negative
@DominicDecocoo @bigperm_41 Til that wanting Bernie Sanders is communism.,negative
Never forget that the DNC are a spineless blob.,negative
"RT @swallowit_: With respect, we must also hold Bernie Sanders responsible for the cover-up of the Tara Reade story. There’s literally no e…",negative
"RT @KimPKAG2020: 🚨Former Sanders Campaign Staffer Tears into Bernie Sanders &amp; DNC (VIDEO) 

💵”Bernie Sanders would not have walked away fro…",negative
Bernie is right. Giving up is not an option. The struggle continues.  ✊❤️,positive
"RT @GottaBernNow: John Cusack calls on Bernie Sanders to 'un endorse' Joe Biden, reopen his campaign for president  https://t.co/h971DGTzTb",neutral
Thank you Cusack. @SenSanders listen to US. #NotMeUs exists for a reason.,positive
"@HowardStern - You are such a sellout similar to Bernie Sanders.  You REALLY have NO VALUES except YOURSELF!
You PRETEND to be a Leftist but in REALITY you &amp; Bernie are selfish bourgeoisie capitalists! YOU BOTH ARE SUCH HYPOCRITES!",negative
RT @KyleKulinski: This video is incredible. All I have to say is the next Bernie Sanders won’t be so nice. Get ready for that.  https://t.c…,positive
"RT @GottaBernNow: John Cusack calls on Bernie Sanders to 'un endorse' Joe Biden, reopen his campaign for president  https://t.co/h971DGTzTb",neutral
"RT @charliekirk11: What do these people have in common?

—Mazie Hirono
—Tammy Baldwin
—Ted Lieu
—Nancy Pelosi
—Adam Schiff
—Elizabeth Warre…",negative
"RT @KimPKAG2020: 🚨Former Sanders Campaign Staffer Tears into Bernie Sanders &amp; DNC (VIDEO) 

💵”Bernie Sanders would not have walked away fro…",negative
"RT @WalkerBragman: At this point, Bernie Sanders should resume his campaign and bring a lawsuit immediately to reverse the decision of the…",neutral
RT @KyleKulinski: This video is incredible. All I have to say is the next Bernie Sanders won’t be so nice. Get ready for that.  https://t.c…,positive
RT @KyleKulinski: This video is incredible. All I have to say is the next Bernie Sanders won’t be so nice. Get ready for that.  https://t.c…,positive
RT @yuyanami01HQ: Thank you Cusack. @SenSanders listen to US. #NotMeUs exists for a reason. https://t.co/BUhR8LpFUq,positive
"RT @charliekirk11: What do these people have in common?

—Mazie Hirono
—Tammy Baldwin
—Ted Lieu
—Nancy Pelosi
—Adam Schiff
—Elizabeth Warre…",negative
RT @niktaylorde: Whatever Bernie Sanders or Joe Biden of the DNC do or say at this point will not change the outcome of the general electio…,negative
