tweet,sentiment
RT Jordan Sather So virus dies much faster direct exposure sunlight And Bill Gates wants block sun,neutral
RT DrKND How public policy created Oregon Governor Kate Brown advised companies funded Bill Gates patent lawyers Shout,negative
RT RonEllis I vaccines I Bill Gates vaccine push Read vaccines African children,neutral
RT Thor Success lousy teacher It seduces smart people thinking lose Bill Gates quotes,positive
RT davidicke Bill Gates I wish I could say halfway coronavirus pandemic I wish I could say halfway thro,neutral
RT davidicke Bill Gates I wish I could say halfway coronavirus pandemic I wish I could say halfway thro,neutral
RT davidicke Breaking Bill Gates Foundation Covid Vaccine Network Scandal https co j TCBkLVwf https co nntCflampA,negative
Nope nothing see Especially sun ask ol Billy,positive
TrumperUk LegendaryEnergy Listening ER Dr like ground looking actual data world wide totally goes Academics like Fauci amp Birx saying worked Dr years Bill Gates matter https co dMeQeuMg,neutral
RT true pundit ICYMI Robert F Kennedy Jr Exposes Bill Gates Vaccine Agenda In Scathing Report https co vLkdpTRzN,negative
RT Jordan Sather So virus dies much faster direct exposure sunlight And Bill Gates wants block sun,neutral
RT ihssaneleckey Meanwhile millions people waiting one time check afford paying bills piling,positive
RT jackieaina sIaghetti also actually know WEALTH IS means implications Bill Gates O,positive
RT Jordan Sather So virus dies much faster direct exposure sunlight And Bill Gates wants block sun,neutral
Do Your Own Research Think Critically Yourself,positive
RT Jordan Sather So virus dies much faster direct exposure sunlight And Bill Gates wants block sun,neutral
alanbecirevic They want give mandatory vaccine likely one immunity passport stamp inserted body c Bill Gates If I say though I conspiracy theorist When CBC says NO PROBLEM,neutral
RT WorkingMan TheSpeaker Bill Gates even scientist much less doctor Poor Lindsey,negative
Thank sharing This thoughtful person lived history Kids taught opposite testifies I say story real present generation taught God Bless America One Nation Under God Indivisible,positive
RT guildandepi atensnut I would agree Something Fauci set well Bill Gates Look furth,positive
RT ALunajungle DeAnna Congress Murrieta Police complicit Bill Gates vaccination plan throwing registered nurse,positive
RT cjtruth FLASHBACK August Bill Gates wants spray millions tonnes dust stratosphere stop global warming The,neutral
RT iamkoshiek I sure seen headlines Zuckerberg loses bn day Bill Gates worth bn Kanye n,positive
Bill Gates Coronavirus Message From Anonymous https co gwuOW VXtr via YouTube,negative
RT davidicke Bill Gates I wish I could say halfway coronavirus pandemic I wish I could say halfway thro,neutral
RT shuklaumesh Bill Gates PM Modi proactive measures combating coronavirus impresses Bill Gates The Economic Times https co,neutral
RT BeachMilk Bill Gates says usually takes years develop vaccine cut corners take sa,positive
RT World In Mins Can I get Healthcare Workers Dancing ClapForOurCarers ClapforHealthcareWorkers Registered,positive
RT V Vendatta PART BILL GATES WANTS VAST SURVEILLANCE ON ALL AMERICANS DO YOU WANT THIS MAN TO PUT A VACCINE IN YOU RT ht,positive
RT Utsava davidicke We Bill Gates arrested trial coming He investigated last year go,positive
