tweet,sentiment
dare,neutral
RT TheOliveKnife In last years words said people I know Narendra Modi Amit Shah Ajit Doval Gaurav Pradhan,positive
RT AneraoKailash Modi govt forgotten Article A amp A g Constitution requires amp cabinet colleagues,positive
RT NehruWho Modi single handedly responsible maximum spread Clvid head state feb Namaste Trump lacs c,positive
Like terrorism fight coronavirus together PM Modi tells Afghan president https co WhrRr zqqj via NaMo App https co WhZgbtNOEM,negative
RT meenakandasamy News come Dr Anand Teltumbde sent Taloja jail This anti Dalit vendetta DNA,neutral
AbdulHamidAhmad Discrimination going years ask Kshsmiris Modi helped Indians get closet I hope Muslims wake smell coffee,neutral
RT TrizaChaudhary We lucky PM like Modi Ji IndiaWithPmModi https co ocb R Rzgx,positive
RT Thakur Saheb xD While RSS door delivery Ration Congress workers door delivery attacks India watching So,neutral
IndiaWithPMModi Proud contemporary PM Modi ji Same feeling Abdul Kalam President,positive
RT rkhuria MonthLockdownWithoutPlan There massive economic cost Lockdown Whatever Modi Govt might say Economic Growth cu,positive
RT timesofindia Coronavirus LIVE Updates Congress president Sonia Gandhi writes PM Modi CoronavirusOutbreak CoronavirusPandemic,positive
RT DeepakP Save money Hindus transfer Hindu economy terrorist majhab Modi Ji want Hindu economy,neutral
RT ZaidZamanHamid Pakistan Navy conducted tests Anti Ship missiles Arabian sea threats India mount I glad,neutral
RT RusEmbIndia Prime Minister Russia Dmitry Medvedev sent greetings Indian counterpart Narendra Modi coming New,positive
alifazal It happens INDIA people even changed pronunciation PM Shri Narendra Modi,positive
RT iRahulSahu He got Azam Khan kingpin gang UP arrested How long BJP power Center How many arrests top ga,neutral
RT bainjal Has Arnab Goswami hysterical meltdown demanding Modi speak Bjp office bearers allegedly lynched sadhu,positive
RT geetv SoniaG writes Modi Congress ideas revival MSME sector Rs Lakh Crore Wage Protection Package Rs Lak,positive
RT INCIndia Congress President Smt Sonia Gandhi writes PM Modi grave economic crisis facing nation She reiterated con,neutral
RT nrajabpcl SoniaGurnani DetheEshaSen Amul Coop PMOIndia narendramodi DrAVSriv savitha rao CantstopulovinM Sowmiya c,neutral
RT dikgaj side tweets fake https co ylw NncM,neutral
