Lonnie,negative,-0.846649
China,negative,-0.871636
President Trump,neutral,0
Trump,neutral,0
Bill Gates,negative,-0.977232
BERNIE SANDERS,negative,-0.706414
Biden,neutral,0
BERNIE SANDERS,negative,-0.706414
Tiger King,negative,-0.894166
Tim Walz,negative,-0.490337
Bernie,positive,0.805169
Pakistan,positive,0.672592
Trump,negative,-0.947567
biden,neutral,0
America,positive,0.651289
RT @JohnnyCash_ni,positive,0.582623
Alastair Campbell,neutral,0
Florida,neutral,0
Donald Trump,positive,0.712247
Bill Gates,negative,-0.692372
Trump,negative,-0.704656
Kamala,neutral,0
Bill Gates,neutral,0
Bernie,negative,-0.53891
Lonnie,negative,-0.846649
Bernie,negative,-0.765145
China,neutral,0
Massachusetts,neutral,0
Trump,neutral,0
Trump,positive,0.457275
Barack Obama,negative,-0.865752
Nuremberg,neutral,0
Daniel Dae Kim,neutral,0
RT @JesseLehrich,positive,0.887606
Bernie,negative,-0.462723
Bernie,negative,-0.350768
Mitch McConnell,negative,-0.775692
@lordjamar @Eminem,negative,-0.745675
BERNIE SANDERS,negative,-0.706414
Bernie,negative,-0.58279
LA,neutral,0
@narendramodi,positive,0.955684
Bernie Sanders,neutral,0
Trump,negative,-0.60134
Lonnie,negative,-0.846649
UK,negative,-0.830237
Trump,negative,-0.68462
Mnuchin,neutral,0
rica,negative,-0.497431
@jonkarl,negative,-0.883573
Dana,positive,0.970914
Bernie,negative,-0.53891
LeBaron,negative,-0.821043
Donald Trump,negative,-0.688988
Cliff,negative,-0.941345
Bernie,positive,0.673259
Trump,negative,-0.906845
bernie,neutral,0
Lonnie,negative,-0.894844
Trump,negative,-0.641411
Katie Porter,positive,0.945789
USA,neutral,0
USA,neutral,0
Donald Trump,negative,-0.948493
Bill Barr,negative,-0.756668
Bernie,negative,-0.53891
Trump,negative,-0.822872
Senator Sherrod Brown,neutral,0
US,negative,-0.76734
Dr. FAUCI,neutral,0
Senator Alessandra Biaggi,negative,-0.815067
Bernie,negative,-0.564543
David Frum,positive,0.419829
bernie,negative,-0.771827
Bernie,positive,0.372401
New Zealand,negative,-0.777576
Obama,neutral,0
Weinstein,neutral,0
tRump,neutral,0
Dr. @drscottjensen,negative,-0.917244
Bernie,negative,-0.53891
bernie,positive,0.863018
Trump,negative,-0.858424
Gov. Holcomb,neutral,0
Indiana,neutral,0
Bill Barr,negative,-0.68754
BERNIE SANDERS,negative,-0.706414
middle east,neutral,0
BERNIE SANDERS,negative,-0.706414
Dan Pena,neutral,0
BERNIE SANDERS,negative,-0.706414
BILL GATES,negative,-0.897444
biden,neutral,0
Trump,neutral,0
Obama,negative,-0.895862
Lonnie,negative,-0.846649
Bernie,negative,-0.53891
President Trump,positive,0.488561
